SkuId, SkuIdFriendlyName
e43b5b99-8dfb-405f-9987-dc307f34bcbd, Skype For Business Cloud PBX
b8b749f8-a4ef-4887-9539-c95b1eaa5db7, Skype For Business Online (Plan 1)
d42c793f-6c78-4f43-92ca-e8f6a02b035f, Skype For Business Online (Plan 2)
d3b4fe1f-9992-4930-8acb-ca6ec609365e, Microsoft 365 Domestic and International Calling Plan
0dab259f-bf13-4952-b7f8-7db8f131b28d, Skype For Business PSTN Domestic Calling
54a152dc-90de-4996-93d2-bc47e670fc06, Skype For Business PSTN Domestic Calling (120 Minutes)
4b244418-9658-4451-a2b8-b5e2b364e9bd, Visio Plan 1
c5928f49-12ba-48f7-ada3-0d743a3601d5, Visio Plan 2
cb10e6cd-9da4-4992-867b-67546b1db821, Windows 10 Enterprise E3
488ba24a-39a9-4473-8ee5-19291e71b002, Windows 10 Enterprise E5
74fbf1bb-47c6-4796-9623-77dc7371723b, Microsoft Teams Trial
f30db892-07e9-47e9-837c-80727f46fd3d, Microsoft Power Automate Free
a403ebcc-fae0-4ca2-8c8c-7a907fd6c235, Power BI (free)
dcb1a3ae-b33f-4487-846a-a640262fadf4, Microsoft Power Apps Plan 2 Trial
bc946dac-7877-4271-b2f7-99d2db13cd2c, Forms Pro Trial
440eaaa8-b3e0-484b-a8be-62870b9ba70a, Microsoft 365 Phone System - Virtual User
e2ae107b-a571-426f-9367-6d4c8f1390ba, Microsoft Forms Pro USL
1f2f344a-700d-42c9-9427-5cea1d5d7ba6, Microsoft Stream Trial
de3312e1-c7b0-46e6-a7c3-a515ff90bc86, Telstra Calling for Office 365
710779e8-3d4a-4c88-adb9-386c958d1fdf, Microsoft Teams Exploratory
3dd6cf57-d688-4eed-ba52-9e40b5468c3e, Microsoft Defender for Office 365 (Plan 2)
4b74a65c-8b4a-4fc8-9f6b-5177ed11ddfa, Virtual Agent USL
7a551360-26c4-4f61-84e6-ef715673e083, Dynamics 365 Remote Assist







